,symbol,metric,value
626,GOOGL,Bid,175.78 x 400
627,GOOGL,Ask,175.88 x 300
628,GOOGL,Day's Range,175.21 - 177.15 
629,GOOGL,52 Week Range,115.35 - 178.77 
630,GOOGL,Volume,"9,069,539 "
631,GOOGL,Avg. Volume,"30,647,185 "
632,GOOGL,Market Cap (intraday),2.182T 
633,GOOGL,Beta (5Y Monthly),1.02
634,GOOGL,PE Ratio (TTM),26.92 
635,GOOGL,EPS (TTM),6.53 
636,GOOGL,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
637,GOOGL,Forward Dividend & Yield,0.80 (0.45%)
638,GOOGL,Ex-Dividend Date,"Jun 10, 2024"
639,GOOGL,1y Target Est,191.49 
640,GOOG,Previous Close,178.00 
641,GOOG,Open,178.70 
